path,role
.gitattributes,Git attribute / byte-handling policy
.github/workflows/verify-current-release.yml,continuous-integration workflow
.github/workflows/verify-v330.yml,continuous-integration workflow
.gitignore,repository hygiene
ARTEFACT_PROVENANCE.md,repository documentation / provenance note
CITATION.cff,citation metadata
DATA_AVAILABILITY.md,repository documentation / provenance note
FILE_INDEX.csv,file index (this file)
FILE_INDEX_v330.csv,repository research artefact
LICENSE-CODE-MIT.txt,licence / redistribution statement
LICENSE-DATA-CC-BY-4.0.txt,licence / redistribution statement
LICENSING.md,repository documentation / provenance note
LOCAL_INVENTORY_V365_FINDINGS.md,repository documentation / provenance note
MANIFEST_SHA256.csv,integrity manifest (indexes all tracked files except itself)
MANIFEST_V330_UPDATE_SHA256.csv,repository research artefact
README.md,repository documentation / provenance note
REPOSITORY_CLOSURE_V365.md,repository documentation / provenance note
REPOSITORY_COMPLETENESS_AUDIT_V344.md,repository documentation / provenance note
REPOSITORY_COMPLETENESS_V365_PLAN.md,repository documentation / provenance note
REPOSITORY_FIXTURE_STATIC_GATE_V365.md,repository documentation / provenance note
REPOSITORY_FIXTURE_STATIC_TRANSFER_REVIEW_V365.md,repository documentation / provenance note
REPOSITORY_FIXTURE_STATIC_V2_PASS.md,repository documentation / provenance note
REPOSITORY_GAP_SCAN_V365.md,repository documentation / provenance note
REPOSITORY_SAFE_TRANSFER_V365.md,repository documentation / provenance note
REPRODUCIBILITY.md,repository documentation / provenance note
SECURITY_AND_REDACTION.md,repository documentation / provenance note
THESIS_V344_ALIGNMENT.md,repository documentation / provenance note
THESIS_V360_ALIGNMENT.md,repository documentation / provenance note
analysis/README.md,analysis / release-validation code
analysis/analyze_coldstart.py,analysis / release-validation code
analysis/analyze_timeseries.py,analysis / release-validation code
analysis/ch4_evidence_pipeline.py,analysis / release-validation code
analysis/historical-provenance/README.md,historical analytical provenance
analysis/historical-provenance/phase3_inferential.py,historical analytical provenance
analysis/materialize_v330_pipeline.py,analysis / release-validation code
analysis/phase1_validation.py,analysis / release-validation code
analysis/phase2_eda.py,analysis / release-validation code
analysis/run_analysis.py,analysis / release-validation code
analysis/run_v330_from_repo.py,analysis / release-validation code
analysis/run_v360_from_repo.py,analysis / release-validation code
analysis/v330-payload/README.md,analysis / release-validation code
analysis/v330-payload/payload_01.b64,analysis / release-validation code
analysis/v330-payload/payload_02.b64,analysis / release-validation code
analysis/v330-payload/payload_03.b64,analysis / release-validation code
analysis/v330-payload/payload_04.b64,analysis / release-validation code
analysis/v330-payload/payload_05.b64,analysis / release-validation code
analysis/v360_release_corrections.py,analysis / release-validation code
application/.env.example,application source / runtime configuration
application/DOCKERFILE_AUTHORITY_V365.md,application container-build configuration / documented derivative
application/Dockerfile,application container-build configuration / documented derivative
application/Dockerfile.apache-wsgi,application container-build configuration / documented derivative
application/Dockerfile.benchmark.PUBLIC,application container-build configuration / documented derivative
application/Dockerfile.nginx-uwsgi,application container-build configuration / documented derivative
application/Dockerfile.v2,application container-build configuration / documented derivative
application/FIXTURE_PUBLIC_PROVENANCE_V365.md,privacy-safe application fixture / loader / provenance
application/STATIC_ASSET_BOUNDARY.md,application source / runtime configuration
application/build-and-push.sh,application source / runtime configuration
application/commerce/__init__.py,Django commerce application source
application/commerce/admin.py,Django commerce application source
application/commerce/apps.py,Django commerce application source
application/commerce/forms.py,Django commerce application source
application/commerce/migrations/0001_initial.py,Django database migration source
application/commerce/migrations/0002_contactinfo_contactperson.py,Django database migration source
application/commerce/migrations/0003_remove_contactinfo_map_embed_url.py,Django database migration source
application/commerce/migrations/0004_cart_cartitem.py,Django database migration source
application/commerce/migrations/0005_profile.py,Django database migration source
application/commerce/migrations/0006_profile_bio_profile_birth_date_profile_location_and_more.py,Django database migration source
application/commerce/migrations/0007_customuser.py,Django database migration source
application/commerce/migrations/0008_delete_customuser.py,Django database migration source
application/commerce/migrations/0009_cartitem_size.py,Django database migration source
application/commerce/migrations/0010_contactmessage.py,Django database migration source
application/commerce/migrations/0011_rename_date_created_contactmessage_created_at_and_more.py,Django database migration source
application/commerce/migrations/0012_alter_contactperson_image_order_payment.py,Django database migration source
application/commerce/migrations/0013_remove_order_cart_orderitem.py,Django database migration source
application/commerce/migrations/0014_order_cart_delete_orderitem.py,Django database migration source
application/commerce/migrations/0015_remove_order_cart_order_status_orderitem.py,Django database migration source
application/commerce/migrations/__init__.py,Django database migration source
application/commerce/models.py,Django commerce application source
application/commerce/signals.py,Django commerce application source
application/commerce/templates/about.html,Django application template
application/commerce/templates/base.html,Django application template
application/commerce/templates/blog.html,Django application template
application/commerce/templates/blog_detail.html,Django application template
application/commerce/templates/cart.html,Django application template
application/commerce/templates/checkout.html,Django application template
application/commerce/templates/contact.html,Django application template
application/commerce/templates/index.html,Django application template
application/commerce/templates/payment.html,Django application template
application/commerce/templates/payment_success.html,Django application template
application/commerce/templates/profile.html,Django application template
application/commerce/templates/registration/login.html,Django application template
application/commerce/templates/registration/signup.html,Django application template
application/commerce/templates/shop.html,Django application template
application/commerce/templates/sproduct.html,Django application template
application/commerce/templatetags/__init__.py,Django template-tag source
application/commerce/templatetags/custom_filters.py,Django template-tag source
application/commerce/templatetags/filters.py,Django template-tag source
application/commerce/tests.py,Django commerce application source
application/commerce/urls.py,Django commerce application source
application/commerce/views.py,Django commerce application source
application/datadump.PUBLIC.json,privacy-safe application fixture / loader / provenance
application/ecommerce/__init__.py,Django project/runtime source or safe configuration
application/ecommerce/asgi.py,Django project/runtime source or safe configuration
application/ecommerce/gunicorn_conf.py,Django project/runtime source or safe configuration
application/ecommerce/settings.PUBLIC.py,Django project/runtime source or safe configuration
application/ecommerce/settings.py,Django project/runtime source or safe configuration
application/ecommerce/urls.py,Django project/runtime source or safe configuration
application/ecommerce/wsgi.py,Django project/runtime source or safe configuration
application/load_data.py,privacy-safe application fixture / loader / provenance
application/load_public_fixture.py,privacy-safe application fixture / loader / provenance
application/manage.py,application source / runtime configuration
application/media_from_static_map.csv,application source / runtime configuration
application/postgres/pg_hba.conf,application source / runtime configuration
