path,role
.gitattributes,Retained v366 repository artefact; version-named files preserve historical provenance
.github/workflows/finalize-v366-closure.yml,Retained v366 repository artefact; version-named files preserve historical provenance
.github/workflows/verify-current-release.yml,"v367 current authority, correction implementation or regenerated output"
.github/workflows/verify-v330.yml,Retained v366 repository artefact; version-named files preserve historical provenance
.gitignore,Retained v366 repository artefact; version-named files preserve historical provenance
ARTEFACT_PROVENANCE.md,Retained v366 repository artefact; version-named files preserve historical provenance
CITATION.cff,Retained v366 repository artefact; version-named files preserve historical provenance
DATA_AVAILABILITY.md,Retained v366 repository artefact; version-named files preserve historical provenance
FILE_INDEX.csv,Retained v366 repository artefact; version-named files preserve historical provenance
FILE_INDEX_V366.csv,Retained v366 repository artefact; version-named files preserve historical provenance
FILE_INDEX_V367.csv,Current v367 repository file index
FILE_INDEX_v330.csv,Retained v366 repository artefact; version-named files preserve historical provenance
LICENSE-CODE-MIT.txt,Retained v366 repository artefact; version-named files preserve historical provenance
LICENSE-DATA-CC-BY-4.0.txt,Retained v366 repository artefact; version-named files preserve historical provenance
LICENSING.md,Retained v366 repository artefact; version-named files preserve historical provenance
LOCAL_INVENTORY_V365_FINDINGS.md,Retained v366 repository artefact; version-named files preserve historical provenance
MANIFEST_SHA256.csv,Retained v366 repository artefact; version-named files preserve historical provenance
MANIFEST_V330_UPDATE_SHA256.csv,Retained v366 repository artefact; version-named files preserve historical provenance
MANIFEST_V366_SHA256.csv,Retained v366 repository artefact; version-named files preserve historical provenance
MANIFEST_V367_SHA256.csv,Current v367 integrity manifest; self excluded from hash rows
PULL_REQUEST_V366_SUMMARY.md,Retained v366 repository artefact; version-named files preserve historical provenance
README.md,"v367 current authority, correction implementation or regenerated output"
REPOSITORY_CLOSURE_V365.md,Retained v366 repository artefact; version-named files preserve historical provenance
REPOSITORY_CLOSURE_V366.md,Retained v366 repository artefact; version-named files preserve historical provenance
REPOSITORY_COMPLETENESS_AUDIT_V344.md,Retained v366 repository artefact; version-named files preserve historical provenance
REPOSITORY_COMPLETENESS_V365_PLAN.md,Retained v366 repository artefact; version-named files preserve historical provenance
REPOSITORY_FIXTURE_STATIC_GATE_V365.md,Retained v366 repository artefact; version-named files preserve historical provenance
REPOSITORY_FIXTURE_STATIC_TRANSFER_REVIEW_V365.md,Retained v366 repository artefact; version-named files preserve historical provenance
REPOSITORY_FIXTURE_STATIC_V2_PASS.md,Retained v366 repository artefact; version-named files preserve historical provenance
REPOSITORY_GAP_SCAN_V365.md,Retained v366 repository artefact; version-named files preserve historical provenance
REPOSITORY_SAFE_TRANSFER_V365.md,Retained v366 repository artefact; version-named files preserve historical provenance
REPRODUCIBILITY.md,"v367 current authority, correction implementation or regenerated output"
SECURITY_AND_REDACTION.md,Retained v366 repository artefact; version-named files preserve historical provenance
THESIS_V344_ALIGNMENT.md,Retained v366 repository artefact; version-named files preserve historical provenance
THESIS_V360_ALIGNMENT.md,Retained v366 repository artefact; version-named files preserve historical provenance
THESIS_V366_ALIGNMENT.md,Retained v366 repository artefact; version-named files preserve historical provenance
THESIS_V367_ALIGNMENT.md,"v367 current authority, correction implementation or regenerated output"
V366_CORRECTION_REGISTER.md,Retained v366 repository artefact; version-named files preserve historical provenance
V366_FINAL_QA_SUMMARY.md,Retained v366 repository artefact; version-named files preserve historical provenance
analysis/README.md,"v367 current authority, correction implementation or regenerated output"
analysis/analyze_coldstart.py,Retained v366 repository artefact; version-named files preserve historical provenance
analysis/analyze_timeseries.py,Retained v366 repository artefact; version-named files preserve historical provenance
