"run_id","platform","scenario","replication","start_time","end_time","test_duration_s","target_rps","rps_actual","goodput_rps","total_requests","total_errors","error_rate","latency_p50","latency_p90","latency_p95","latency_p99","latency_p999","latency_mean","latency_min","latency_max","latency_stddev","latency_cv","dns_p50","dns_p95","tcp_p50","tcp_p95","tls_p50","tls_p95","waiting_p50","waiting_p95","waiting_p99","apdex_t500_f2000","bytes_received","bytes_sent","bandwidth_rx_bps","k6_iterations","first_ts","last_ts"
"01_apache_modwsgi__A_browse__rep01","01_apache_modwsgi","A_browse","1","2026-05-16T22:21:11.834+03:00","2026-05-16T22:51:32.936+03:00","1819.45","20","19.48","17.648","35442","3332","0.094013","115.142","233.127","1026.138","59906.451","59914.201","2701.753","0","60000.969","11996.985","4.440444","","","0.0","0.0","0.0","0.0","108.963","759.757","59906.2","0.9425","131773485","4337152","72424.9","35442","2026-05-16T22:21:12.8905168+03:00","2026-05-16T22:51:32.340346+03:00"
"01_apache_modwsgi__A_browse__rep02","01_apache_modwsgi","A_browse","2","2026-05-16T22:54:17.886+03:00","2026-05-16T23:24:34.191+03:00","1815.39","20","19.831","19.536","36001","535","0.014861","111.881","137.379","163.911","59893.359","59913.426","1036.028","70.037","60002.705","7297.245","7.043482","","","0.0","0.0","0.0","0.0","104.477","150.214","59892.266","0.9797","144471001","4636560","79581.2","36001","2026-05-16T22:54:18.2187385+03:00","2026-05-16T23:24:33.6104505+03:00"
"01_apache_modwsgi__A_browse__rep03","01_apache_modwsgi","A_browse","3","2026-05-16T23:27:14.186+03:00","2026-05-16T23:57:29.979+03:00","1814.72","20","19.838","19.556","36001","513","0.01425","114.68","154.746","283.972","59868.371","59910.805","1016.041","72.611","60001.946","7126.442","7.013935","","","0.0","0.0","0.0","0.0","109.837","162.431","59867.947","0.9716","145443534","4637314","80146.7","36001","2026-05-16T23:27:14.7072636+03:00","2026-05-16T23:57:29.4229591+03:00"
"01_apache_modwsgi__A_browse__rep04","01_apache_modwsgi","A_browse","4","2026-05-17T00:00:10.486+03:00","2026-05-17T00:30:26.410+03:00","1814.66","20","19.839","19.55","36001","524","0.014555","116.829","153.247","205.714","59884.205","59910.949","1032.842","71.82","60001.758","7230.906","7.000978","","","0.0","0.0","0.0","0.0","110.429","157.501","59882.387","0.9759","145699334","4638209","80290.3","36001","2026-05-17T00:00:11.1318236+03:00","2026-05-17T00:30:25.7891505+03:00"
"01_apache_modwsgi__A_browse__rep05","01_apache_modwsgi","A_browse","5","2026-05-17T00:33:06.699+03:00","2026-05-17T01:03:22.405+03:00","1814.76","20","19.838","19.55","36001","523","0.014527","113.199","143.609","158.246","59886.268","59910.329","1013.52","81.874","60001.291","7205.582","7.109463","","","0.0","0.0","0.0","0.0","106.065","150.843","59885.348","0.9812","145366113","4637035","80102.3","36001","2026-05-17T00:33:07.0677158+03:00","2026-05-17T01:03:21.8227621+03:00"
"01_apache_modwsgi__A_browse__rep06","01_apache_modwsgi","A_browse","6","2026-05-17T01:06:01.508+03:00","2026-05-17T01:36:17.022+03:00","1814.67","20","19.838","19.551","36000","521","0.014472","109.455","128.806","139.88","59897.389","59913.086","1001.33","72.691","60001.258","7210.079","7.2005","","","0.0","0.0","0.0","0.0","102.258","133.872","59897.042","0.9848","145114131","4636934","79967.2","36000","2026-05-17T01:06:01.8104998+03:00","2026-05-17T01:36:16.4821394+03:00"
"01_apache_modwsgi__A_browse__rep07","01_apache_modwsgi","A_browse","7","2026-05-17T01:38:55.466+03:00","2026-05-17T02:09:10.674+03:00","1814.32","20","19.842","19.562","36000","508","0.014111","105.857","123.295","131.54","59902.078","59912.913","999.395","70.526","60002.228","7206.833","7.211196","","","0.0","0.0","0.0","0.0","101.196","126.491","59901.434","0.9846","145734296","4639379","80324.4","36000","2026-05-17T01:38:55.7926405+03:00","2026-05-17T02:09:10.1148489+03:00"
"01_apache_modwsgi__A_browse__rep08","01_apache_modwsgi","A_browse","8","2026-05-17T02:11:49.403+03:00","2026-05-17T02:42:05.249+03:00","1814.96","20","19.836","19.551","36001","516","0.014333","103.097","118.611","125.647","59905.272","59914.642","984.986","72.546","60001.998","7170.208","7.2795","","","0.0","0.0","0.0","0.0","100.711","120.088","59905.147","0.9851","145159054","4637081","79979.4","36001","2026-05-17T02:11:49.7241265+03:00","2026-05-17T02:42:04.6792694+03:00"
"01_apache_modwsgi__A_browse__rep09","01_apache_modwsgi","A_browse","9","2026-05-17T02:44:43.630+03:00","2026-05-17T03:14:59.222+03:00","1814.74","20","19.838","19.538","36001","544","0.015111","102.736","116.223","122.442","59905.737","59914.609","1036.618","73.591","60001.95","7380.432","7.119722","","","0.0","0.0","0.0","0.0","100.632","116.754","59905.519","0.984","145306535","4637916","80070.1","36001","2026-05-17T02:44:43.9388926+03:00","2026-05-17T03:14:58.6798898+03:00"
"01_apache_modwsgi__A_browse__rep10","01_apache_modwsgi","A_browse","10","2026-05-17T03:17:37.631+03:00","2026-05-17T03:47:55.017+03:00","1816.47","20","19.819","19.433","36001","701","0.019472","101.544","115.415","121.835","59903.266","59913.12","818.783","0","60001.655","6504.452","7.944053","","","0.0","0.0","0.0","0.0","100.342","116.231","59902.892","0.9878","144040073","4601587","79296.8","36001","2026-05-17T03:17:37.9358023+03:00","2026-05-17T03:47:54.4030941+03:00"
"01_apache_modwsgi__B_mixed__rep01","01_apache_modwsgi","B_mixed","1","2026-05-17T03:50:33.891+03:00","2026-05-17T04:20:49.197+03:00","1814.37","15","14.882","14.764","27001","214","0.007926","103.73","118.314","125.236","244.926","59910.788","589.654","73.484","60001.224","5336.95","9.050981","","","0.0","0.0","0.0","0.0","97.54","120.586","238.354","0.9917","90003535","3464354","49606.0","27001","2026-05-17T03:50:34.2753586+03:00","2026-05-17T04:20:48.6447603+03:00"
"01_apache_modwsgi__B_mixed__rep02","01_apache_modwsgi","B_mixed","2","2026-05-17T04:23:26.813+03:00","2026-05-17T04:53:41.700+03:00","1813.99","15","14.884","14.774","27000","200","0.007407","103.059","118.1","125.879","231.137","59910.98","560.269","72.431","60000.84","5175.65","9.2378","","","0.0","0.0","0.0","0.0","96.412","120.779","225.677","0.9922","90098140","3464843","49668.5","27000","2026-05-17T04:23:27.1244321+03:00","2026-05-17T04:53:41.1158038+03:00"
"01_apache_modwsgi__B_mixed__rep03","01_apache_modwsgi","B_mixed","3","2026-05-17T04:56:19.514+03:00","2026-05-17T05:26:34.277+03:00","1813.92","15","14.885","14.751","27000","242","0.008963","102.33","117.351","125.286","261.688","59913.043","654.087","72.352","60001.08","5685.868","8.692826","","","0.0","0.0","0.0","0.0","95.797","119.933","245.467","0.9905","89578919","3464274","49384.2","27000","2026-05-17T04:56:19.8252403+03:00","2026-05-17T05:26:33.7433614+03:00"
"01_apache_modwsgi__B_mixed__rep04","01_apache_modwsgi","B_mixed","4","2026-05-17T05:29:11.819+03:00","2026-05-17T05:59:26.630+03:00","1813.97","15","14.884","14.759","27000","227","0.008407","102.13","116.099","123.332","252.585","59911.37","619.03","71.807","60001.805","5506.446","8.895275","","","0.0","0.0","0.0","0.0","96.566","119.144","245.275","0.9912","90048851","3464552","49641.8","27000","2026-05-17T05:29:12.1212927+03:00","2026-05-17T05:59:26.0935571+03:00"
