Category,Relative_Path,Filename,Extension,Size_Bytes,Last_Write_Time,Readable,SHA256,Error,Platform,Scenario,Replication,Run_ID,Raw_Kind
RAW_BENCHMARK_FILE,data\raw\raw data excel\01_apache_modwsgi__A_browse__rep01.csv,01_apache_modwsgi__A_browse__rep01.csv,.csv,94288554,2026-05-16T22:51:32.341890,True,80821cb9ef11ff4139ae90dfb4df903b1cd7d948f464449ff333af3aef82abc8,,01_apache_modwsgi,A_browse,1,01_apache_modwsgi__A_browse__rep01,tabular
RAW_BENCHMARK_FILE,data\raw\raw data excel\01_apache_modwsgi__A_browse__rep02.csv,01_apache_modwsgi__A_browse__rep02.csv,.csv,91644210,2026-05-16T23:24:33.611117,True,1ab9a5c0d750b75771e7035803294e660656ba8f1a8d0669c2720a27873d10d5,,01_apache_modwsgi,A_browse,2,01_apache_modwsgi__A_browse__rep02,tabular
RAW_BENCHMARK_FILE,data\raw\raw data excel\01_apache_modwsgi__A_browse__rep03.csv,01_apache_modwsgi__A_browse__rep03.csv,.csv,91665181,2026-05-16T23:57:29.423582,True,d57111c16c6dc61e5798638ad3dbd5b4dab35305f102c0c4796b9f8994dc2c04,,01_apache_modwsgi,A_browse,3,01_apache_modwsgi__A_browse__rep03,tabular
RAW_BENCHMARK_FILE,data\raw\raw data excel\01_apache_modwsgi__A_browse__rep04.csv,01_apache_modwsgi__A_browse__rep04.csv,.csv,91689586,2026-05-17T00:30:25.792696,True,9bbbf45500d7fabe03f62467c6a2e0269f09e40cae5fe43a189c922a2b87fb83,,01_apache_modwsgi,A_browse,4,01_apache_modwsgi__A_browse__rep04,tabular
RAW_BENCHMARK_FILE,data\raw\raw data excel\01_apache_modwsgi__A_browse__rep05.csv,01_apache_modwsgi__A_browse__rep05.csv,.csv,91661101,2026-05-17T01:03:21.824002,True,93890afee7c198b8746504d50cb17c4e7d51518f1e47c14be9f380bac9a8dab0,,01_apache_modwsgi,A_browse,5,01_apache_modwsgi__A_browse__rep05,tabular
RAW_BENCHMARK_FILE,data\raw\raw data excel\01_apache_modwsgi__A_browse__rep06.csv,01_apache_modwsgi__A_browse__rep06.csv,.csv,91643526,2026-05-17T01:36:16.483176,True,a8b6e100bc0b4f77a90d2305a8624cd843b0c745901e4d702714404a7e83a5ae,,01_apache_modwsgi,A_browse,6,01_apache_modwsgi__A_browse__rep06,tabular
RAW_BENCHMARK_FILE,data\raw\raw data excel\01_apache_modwsgi__A_browse__rep07.csv,01_apache_modwsgi__A_browse__rep07.csv,.csv,91659227,2026-05-17T02:09:10.116010,True,fa4f39be01faec53f8b75ec145deb9d572c67c06f0ccf58df77573ee1ef91b11,,01_apache_modwsgi,A_browse,7,01_apache_modwsgi__A_browse__rep07,tabular
RAW_BENCHMARK_FILE,data\raw\raw data excel\01_apache_modwsgi__A_browse__rep08.csv,01_apache_modwsgi__A_browse__rep08.csv,.csv,91619714,2026-05-17T02:42:04.679930,True,f7ec40a52acbe3f0021c316c0a0a3447005e670ed3c05da7d0d218842bdab95c,,01_apache_modwsgi,A_browse,8,01_apache_modwsgi__A_browse__rep08,tabular
RAW_BENCHMARK_FILE,data\raw\raw data excel\01_apache_modwsgi__A_browse__rep09.csv,01_apache_modwsgi__A_browse__rep09.csv,.csv,91642647,2026-05-17T03:14:58.683385,True,3eb2ba1b55599add7d81deba897c34c2b3c6ddb0ecb3e4a95079e7e6e4d30f7b,,01_apache_modwsgi,A_browse,9,01_apache_modwsgi__A_browse__rep09,tabular
RAW_BENCHMARK_FILE,data\raw\raw data excel\01_apache_modwsgi__A_browse__rep10.csv,01_apache_modwsgi__A_browse__rep10.csv,.csv,92803233,2026-05-17T03:47:54.403876,True,cfac50a7402bcbfcbdc5b74cf6c483142f3f665fc31c63ca7df0fb4834fbd81a,,01_apache_modwsgi,A_browse,10,01_apache_modwsgi__A_browse__rep10,tabular
RAW_BENCHMARK_FILE,data\raw\raw data excel\01_apache_modwsgi__B_mixed__rep01.csv,01_apache_modwsgi__B_mixed__rep01.csv,.csv,68877562,2026-05-17T04:20:48.645338,True,e66913da93a9ab34e48fd53e87c3044086f96f496dd6864dfd4b2f2e5422fc08,,01_apache_modwsgi,B_mixed,1,01_apache_modwsgi__B_mixed__rep01,tabular
RAW_BENCHMARK_FILE,data\raw\raw data excel\01_apache_modwsgi__B_mixed__rep02.csv,01_apache_modwsgi__B_mixed__rep02.csv,.csv,68878749,2026-05-17T04:53:41.116311,True,f0afe33016980b7eb4700fff3e91c95a486be334047eebce2a94aba8ab79b998,,01_apache_modwsgi,B_mixed,2,01_apache_modwsgi__B_mixed__rep02,tabular
