platform,scenario,p95_first30s,p95_steady,warmup_ratio
ACA,A_browse,155.3,153.4,1.0
ACA,B_mixed,152.3,152.0,1.0
ACA,C_checkout,114.4,113.4,1.0
ACA,D_burst,123.8,121.2,1.0
Apache,A_browse,146.0,149.2,1.0
Apache,B_mixed,130.4,124.6,1.0
Apache,C_checkout,126.7,146.8,0.9
Apache,D_burst,162.2,139.8,1.2
Django,A_browse,143.7,150.0,1.0
Django,B_mixed,134.3,125.8,1.1
Django,C_checkout,121.9,118.4,1.0
Django,D_burst,143.2,4655.2,0.0
Fly.io,A_browse,156.3,737.2,0.2
Fly.io,B_mixed,164.0,163.8,1.0
Fly.io,C_checkout,167.4,715.7,0.2
Fly.io,D_burst,193.2,354.4,0.5
IIS,A_browse,118.8,116.8,1.0
IIS,B_mixed,127.7,128.8,1.0
IIS,C_checkout,140.7,142.5,1.0
IIS,D_burst,300.4,205.0,1.5
Koyeb,A_browse,162.4,203.1,0.8
Koyeb,B_mixed,159.9,164.6,1.0
Koyeb,C_checkout,161.7,180.8,0.9
Koyeb,D_burst,170.5,169.2,1.0
Nginx,A_browse,151.1,153.2,1.0
Nginx,B_mixed,121.5,117.7,1.0
Nginx,C_checkout,113.4,112.8,1.0
Nginx,D_burst,140.0,134.3,1.0
