Platform,Group,Scen.,p50 ms,p95 ms,p99 ms,p99 boundary flags /10,CV,p99/p50 tail ratio
Self-managed WSGI paths,Self-managed WSGI paths,Self-managed WSGI paths,Self-managed WSGI paths,Self-managed WSGI paths,Self-managed WSGI paths,Self-managed WSGI paths,Self-managed WSGI paths,Self-managed WSGI paths
Apache + mod_wsgi,Trad.,A,110.7,149.1,"59,899.7",10,7.11,541.28
Apache + mod_wsgi,Trad.,B,103.6,125.0,243.4,0,9.06,2.33
Apache + mod_wsgi,Trad.,C,102.8,146.3,"59,898.3",6,5.59,564.09
Apache + mod_wsgi,Trad.,D,101.8,141.7,250.5,0,9.29,2.44
Nginx + uWSGI,Trad.,A,112.1,153.3,641.7,0,0.79,5.63
Nginx + uWSGI,Trad.,B,102.4,118.0,126.9,0,0.13,1.25
Nginx + uWSGI,Trad.,C,98.6,112.8,122.4,0,0.21,1.24
Nginx + uWSGI,Trad.,D,104.2,134.3,180.6,0,0.27,1.77
Django + Gunicorn,Trad.,A,110.6,149.7,650.1,0,1.75,5.86
Django + Gunicorn,Trad.,B,107.0,126.1,141.8,0,0.15,1.33
Django + Gunicorn,Trad.,C,101.5,118.5,134.6,0,0.17,1.34
Django + Gunicorn,Trad.,D,108.9,"4,428.3","21,398.8",2,3.53,200.04
IIS + Waitress,Trad.,A,101.0,116.9,125.3,0,1.98,1.24
IIS + Waitress,Trad.,B,107.3,128.8,165.3,0,2.26,1.54
IIS + Waitress,Trad.,C,107.3,142.7,296.5,0,2.26,2.77
IIS + Waitress,Trad.,D,110.3,205.0,881.6,0,3.68,7.98
Provider-managed paths,Provider-managed paths,Provider-managed paths,Provider-managed paths,Provider-managed paths,Provider-managed paths,Provider-managed paths,Provider-managed paths,Provider-managed paths
Azure Container Apps,Managed,A,113.8,153.4,266.0,0,0.32,2.33
Azure Container Apps,Managed,B,111.3,151.9,297.4,0,1.67,2.70
Azure Container Apps,Managed,C,99.4,113.6,123.9,0,0.15,1.25
Azure Container Apps,Managed,D,103.1,121.2,145.1,0,0.21,1.37
Koyeb,Managed,A,131.6,208.6,"5,047.3",0,4.90,37.95
Koyeb,Managed,B,135.1,164.6,322.1,0,5.65,2.34
Koyeb,Managed,C,124.2,181.0,459.6,0,5.74,3.54
Koyeb,Managed,D,125.4,169.5,293.7,0,6.02,2.32
Fly.io,Managed,A,143.9,726.4,2294.1,0,3.85,13.83
Fly.io,Managed,B,126.6,163.5,368.3,0,2.82,2.94
Fly.io,Managed,C,167.0,704.5,2316.7,0,3.50,13.37
Fly.io,Managed,D,128.0,354.8,625.2,0,3.62,4.82
