scenario,platform,p50_ms,p95_ms,p95_IQR,p99_ms,p99/p50,censored_reps_of_10
A_browse,Apache+mod_wsgi,110.7,149.1,68.1,59899.7,541.3,10
A_browse,Nginx+uWSGI,112.1,153.3,19.9,641.7,5.6,0
A_browse,Gunicorn,110.6,149.7,21.3,650.1,5.9,0
A_browse,IIS+Waitress,101.0,116.9,1.4,125.3,1.2,0
A_browse,ACA,113.8,153.4,21.5,266.0,2.3,0
A_browse,Koyeb,131.6,208.6,786.9,5047.3,37.9,0
A_browse,Fly.io,143.9,726.4,192.3,2294.1,13.8,0
B_mixed,Apache+mod_wsgi,103.6,125.0,2.1,243.4,2.3,0
B_mixed,Nginx+uWSGI,102.4,118.0,6.7,126.9,1.2,0
B_mixed,Gunicorn,107.0,126.1,23.3,141.8,1.3,0
B_mixed,IIS+Waitress,107.3,128.8,29.6,165.3,1.5,0
B_mixed,ACA,111.3,151.9,110.2,297.4,2.7,0
B_mixed,Koyeb,135.1,164.6,5.2,322.1,2.3,0
B_mixed,Fly.io,126.6,163.5,196.4,368.3,2.9,0
C_checkout,Apache+mod_wsgi,102.8,146.3,47.1,59898.3,564.1,6
C_checkout,Nginx+uWSGI,98.6,112.8,9.1,122.4,1.2,0
C_checkout,Gunicorn,101.5,118.5,4.3,134.6,1.3,0
C_checkout,IIS+Waitress,107.3,142.7,19.3,296.5,2.8,0
C_checkout,ACA,99.4,113.6,1.3,123.9,1.3,0
C_checkout,Koyeb,124.2,181.0,70.3,459.6,3.5,0
C_checkout,Fly.io,167.0,704.5,128.8,2316.7,13.4,0
D_burst,Apache+mod_wsgi,101.8,141.7,27.9,250.5,2.4,0
D_burst,Nginx+uWSGI,104.2,134.3,52.6,180.6,1.8,0
D_burst,Gunicorn,108.9,4428.3,9286.3,21398.8,200.0,2
D_burst,IIS+Waitress,110.3,205.0,49.3,881.6,8.0,0
D_burst,ACA,103.1,121.2,26.7,145.1,1.4,0
D_burst,Koyeb,125.4,169.5,19.1,293.7,2.3,0
D_burst,Fly.io,128.0,354.8,49.2,625.2,4.8,0
