scenario,platform,goodput_RPS,actual_RPS,error_%,apdex,apdex_margin_vs_0.85
A_browse,Apache+mod_wsgi,19.55,19.84,1.454,0.9826,0.1326
A_browse,Nginx+uWSGI,20.0,20.0,0.0,0.9936,0.1436
A_browse,Gunicorn,20.0,20.0,0.001,0.9939,0.1439
A_browse,IIS+Waitress,20.0,20.0,0.0,0.9998,0.1499
A_browse,ACA,20.0,20.0,0.019,0.999,0.149
A_browse,Koyeb,19.57,19.6,0.073,0.9795,0.1295
A_browse,Fly.io,19.91,19.96,0.105,0.936,0.086
B_mixed,Apache+mod_wsgi,14.77,14.88,0.787,0.9918,0.1418
B_mixed,Nginx+uWSGI,15.0,15.0,0.0,0.9999,0.1499
B_mixed,Gunicorn,15.0,15.0,0.0,0.9998,0.1499
B_mixed,IIS+Waitress,15.0,15.0,0.0,0.9994,0.1494
B_mixed,ACA,15.0,15.0,0.02,0.998,0.148
B_mixed,Koyeb,14.87,14.88,0.046,0.9964,0.1465
B_mixed,Fly.io,15.0,15.0,0.041,0.997,0.147
C_checkout,Apache+mod_wsgi,28.53,29.31,1.923,0.9776,0.1275
C_checkout,Nginx+uWSGI,29.98,29.98,0.0,0.9998,0.1499
C_checkout,Gunicorn,29.98,29.98,0.0,0.9998,0.1498
C_checkout,IIS+Waitress,29.98,29.98,0.0,0.9974,0.1474
C_checkout,ACA,29.98,29.99,0.015,1.0,0.15
C_checkout,Koyeb,29.83,29.85,0.039,0.9955,0.1455
C_checkout,Fly.io,29.57,29.62,0.172,0.9402,0.0903
D_burst,Apache+mod_wsgi,17.59,17.71,0.701,0.9922,0.1422
D_burst,Nginx+uWSGI,17.84,17.84,0.0,0.9992,0.1492
D_burst,Gunicorn,16.4,16.46,0.381,0.924,0.0741
D_burst,IIS+Waitress,17.84,17.84,0.005,0.9862,0.1362
D_burst,ACA,17.83,17.84,0.02,0.9999,0.1499
D_burst,Koyeb,17.82,17.83,0.042,0.9974,0.1474
D_burst,Fly.io,17.82,17.84,0.089,0.992,0.142
