scenario,platform,waiting_p50_ms,waiting_p95_ms,latency_CV,transfer_p50_ms(p50−waiting_p50),bandwidth_rx_kbps
A_browse,Apache+mod_wsgi,103.37,142.04,7.11,5.51,80.02
A_browse,Nginx+uWSGI,109.18,145.55,0.79,4.04,82.16
A_browse,Gunicorn,106.66,144.62,1.75,3.72,81.89
A_browse,IIS+Waitress,100.06,111.94,1.98,1.07,82.14
A_browse,ACA,112.87,152.64,0.32,1.16,77.42
A_browse,Koyeb,127.83,188.3,4.9,5.36,77.27
A_browse,Fly.io,130.89,708.39,3.85,12.78,78.85
B_mixed,Apache+mod_wsgi,97.51,120.01,9.06,6.37,49.61
B_mixed,Nginx+uWSGI,96.01,112.55,0.13,6.51,50.43
B_mixed,Gunicorn,101.04,121.66,0.15,5.95,50.4
B_mixed,IIS+Waitress,105.83,127.9,2.26,1.64,50.52
B_mixed,ACA,108.88,149.72,1.67,3.32,46.71
B_mixed,Koyeb,133.56,161.83,5.65,1.7,46.97
B_mixed,Fly.io,113.24,148.03,2.82,13.84,47.93
C_checkout,Apache+mod_wsgi,101.08,144.0,5.59,2.1,92.95
C_checkout,Nginx+uWSGI,96.3,109.42,0.21,2.35,98.12
C_checkout,Gunicorn,99.51,114.77,0.17,2.16,97.98
C_checkout,IIS+Waitress,105.94,141.19,2.26,1.43,98.18
C_checkout,ACA,97.16,110.77,0.15,2.22,91.1
C_checkout,Koyeb,119.49,174.28,5.74,4.93,92.5
C_checkout,Fly.io,148.69,648.89,3.5,14.45,92.38
