platform,scenario,p95_first_30s_ms,p95_later_ms,ratio_first30s_over_later
Apache+mod_wsgi,A_browse,146.0,149.2,1.0
Nginx+uWSGI,A_browse,151.1,153.2,1.0
Gunicorn,A_browse,143.7,150.0,1.0
IIS+Waitress,A_browse,118.8,116.8,1.0
ACA,A_browse,155.3,153.4,1.0
Koyeb,A_browse,162.4,203.1,0.8
Fly.io,A_browse,156.3,737.2,0.2
Apache+mod_wsgi,B_mixed,130.4,124.6,1.0
Nginx+uWSGI,B_mixed,121.5,117.7,1.0
Gunicorn,B_mixed,134.3,125.8,1.1
IIS+Waitress,B_mixed,127.7,128.8,1.0
ACA,B_mixed,152.3,152.0,1.0
Koyeb,B_mixed,159.9,164.6,1.0
Fly.io,B_mixed,164.0,163.8,1.0
Apache+mod_wsgi,C_checkout,126.7,146.8,0.9
Nginx+uWSGI,C_checkout,113.4,112.8,1.0
Gunicorn,C_checkout,121.9,118.4,1.0
IIS+Waitress,C_checkout,140.7,142.5,1.0
ACA,C_checkout,114.4,113.4,1.0
Koyeb,C_checkout,161.7,180.8,0.9
Fly.io,C_checkout,167.4,715.7,0.2
