Scen.,Outcome,n,H,p,eps2
A,p95 latency (ms),70,39.9,4.77e-07,0.538
A,Callback-defined goodput (RPS),70,47.22,1.70e-08,0.654
A,Error rate,70,61.1,2.69e-11,0.875
A,Apdex (T=500 ms; F=2000 ms),70,45.84,3.18e-08,0.632
A,Latency CV,70,46.55,2.30e-08,0.644
B,p95 latency (ms),70,37.05,1.72e-06,0.493
B,Callback-defined goodput (RPS),70,45.78,3.27e-08,0.631
B,Error rate,70,60.91,2.95e-11,0.872
B,Apdex (T=500 ms; F=2000 ms),70,31.32,2.20e-05,0.402
B,Latency CV,70,55.72,3.31e-10,0.789
C,p95 latency (ms),70,51.7,2.14e-09,0.725
C,Callback-defined goodput (RPS),70,38.83,7.73e-07,0.521
C,Error rate,70,51.74,2.10e-09,0.726
C,Apdex (T=500 ms; F=2000 ms),70,50.87,3.15e-09,0.712
C,Latency CV,70,39.9,4.76e-07,0.538
D,p95 latency (ms),70,37.51,1.40e-06,0.5
D,Callback-defined goodput (RPS),70,33.37,8.92e-06,0.434
D,Error rate,70,45.24,4.20e-08,0.623
D,Apdex (T=500 ms; F=2000 ms),70,32.21,1.48e-05,0.416
D,Latency CV,70,49.36,6.31e-09,0.688
